code,fullname,username,unit,position,dob,joinDate,phone
NV001,山田 太郎,yamada,101 経営陣,部長,1985-01-01,2010-04-01,03-1234-5678
NV002,佐藤 花子,sato,103 総務担当103,スタッフ,1987-02-15,2012-05-10,03-2345-6789
NV003,鈴木 一郎,suzuki,104 人事部門担当104,スタッフ,1990-03-20,2015-06-15,03-3456-7890
NV004,高橋 美咲,takahashi,105 経営計画/段階費105,主任,1988-04-10,2013-07-20,03-4567-8901
NV005,田中 健太,tanaka,112 経営管理費112,スタッフ,1992-05-25,2017-08-25,03-5678-9012
NV006,伊藤 直樹,ito,111 福利担当111,スタッフ,1991-06-30,2016-09-30,03-6789-0123
NV007,渡辺 さくら,watanabe,829 経営管理本部費用829,スタッフ,1989-07-05,2014-10-05,03-7890-1234
NV008,小林 拓也,kobayashi,93123 大手町営業所,スタッフ,1993-08-12,2018-11-12,03-8901-2345
NV009,加藤 美優,kato,101 経営陣,スタッフ,1994-09-18,2019-01-18,03-1234-5679
NV010,中村 亮,nakamura,103 総務担当103,スタッフ,1986-10-22,2011-03-22,03-2345-6790
NV011,小川 直美,ogawa,104 人事部門担当104,スタッフ,1995-11-30,2020-04-30,03-3456-7891
NV012,山本 大輔,yamamoto,105 経営計画/段階費105,主任,1987-12-12,2012-07-12,03-4567-8902
NV013,松本 由美,matsumoto,112 経営管理費112,スタッフ,1992-01-25,2017-06-25,03-5678-9013
NV014,井上 剛,inoue,111 福利担当111,スタッフ,1990-02-14,2015-09-14,03-6789-0124
NV015,森田 さやか,morita,829 経営管理本部費用829,スタッフ,1993-03-03,2018-08-03,03-7890-1235
NV016,石川 翔,ishikawa,101 経営陣,スタッフ,1988-05-11,2013-10-11,03-1234-5680
NV017,山崎 美穂,yamazaki,103 総務担当103,スタッフ,1991-06-22,2016-11-22,03-2345-6791
NV018,池田 直人,ikeda,104 人事部門担当104,スタッフ,1993-07-13,2018-12-13,03-3456-7892
NV019,橋本 亮太,hashimoto,105 経営計画/段階費105,主任,1989-08-24,2014-01-24,03-4567-8903
NV020,山下 由紀,yamashita,112 経営管理費112,スタッフ,1992-09-15,2017-02-15,03-5678-9014
NV021,阿部 直美,abe,111 福利担当111,スタッフ,1990-10-06,2015-03-06,03-6789-0125
NV022,清水 健二,shimizu,829 経営管理本部費用829,スタッフ,1994-11-27,2019-04-27,03-7890-1236
NV023,山口 さとみ,yamaguchi,93123 大手町営業所,スタッフ,1991-12-18,2016-05-18,03-8901-2346
NV024,松井 亮,matsui,101 経営陣,スタッフ,1987-01-09,2012-06-09,03-1234-5681
NV025,西村 美香,nishimura,103 総務担当103,スタッフ,1995-02-20,2020-07-20,03-2345-6792
NV026,福田 剛,fukuda,104 人事部門担当104,スタッフ,1993-03-31,2018-08-31,03-3456-7893
NV027,大野 直樹,ono,105 経営計画/段階費105,主任,1989-04-12,2014-09-12,03-4567-8904
NV028,藤田 由美,fujita,112 経営管理費112,スタッフ,1992-05-23,2017-10-23,03-5678-9015
NV029,岡田 亮太,okada,111 福利担当111,スタッフ,1990-06-14,2015-11-14,03-6789-0126
NV030,中川 さやか,nakagawa,829 経営管理本部費用829,スタッフ,1993-07-25,2018-12-25,03-7890-1237
NV031,村上 翔,murakami,101 経営陣,スタッフ,1988-08-16,2013-01-16,03-1234-5682
NV032,木村 美穂,kimura,103 総務担当103,スタッフ,1991-09-27,2016-02-27,03-2345-6793
NV033,森 直人,mori,104 人事部門担当104,スタッフ,1993-10-08,2018-03-08,03-3456-7894
NV034,原田 亮太,harada,105 経営計画/段階費105,主任,1989-11-19,2014-04-19,03-4567-8905
NV035,石田 由美,ishida,112 経営管理費112,スタッフ,1992-12-30,2017-05-30,03-5678-9016
NV036,酒井 剛,sakai,111 福利担当111,スタッフ,1990-01-21,2015-06-21,03-6789-0127
NV037,工藤 さとみ,kudo,829 経営管理本部費用829,スタッフ,1994-02-02,2019-07-02,03-7890-1238
NV038,三浦 亮,miura,93123 大手町営業所,スタッフ,1991-03-13,2016-08-13,03-8901-2347
NV039,菅原 美香,sugawara,101 経営陣,スタッフ,1987-04-24,2012-09-24,03-1234-5683
NV040,石井 健太,ishii,103 総務担当103,スタッフ,1995-05-05,2020-10-05,03-2345-6794
NV041,遠藤 直樹,endo,104 人事部門担当104,スタッフ,1993-06-16,2018-11-16,03-3456-7895
NV042,青木 亮太,aoki,105 経営計画/段階費105,主任,1989-07-27,2014-12-27,03-4567-8906
NV043,山本 由美,yamamoto2,112 経営管理費112,スタッフ,1992-08-08,2017-01-08,03-5678-9017
NV044,松田 剛,matsuda,111 福利担当111,スタッフ,1990-09-19,2015-02-19,03-6789-0128
NV045,中島 さやか,nakajima,829 経営管理本部費用829,スタッフ,1993-10-30,2018-03-30,03-7890-1239
NV046,小野 翔,ono2,101 経営陣,スタッフ,1988-11-11,2013-04-11,03-1234-5684
NV047,柴田 美穂,shibata,103 総務担当103,スタッフ,1991-12-22,2016-05-22,03-2345-6795
NV048,宮本 直人,miyamoto,104 人事部門担当104,スタッフ,1993-01-03,2018-06-03,03-3456-7896
NV049,松浦 亮太,matsuura,105 経営計画/段階費105,主任,1989-02-14,2014-07-14,03-4567-8907
NV050,藤井 由美,fujii,112 経営管理費112,スタッフ,1992-03-25,2017-08-25,03-5678-9018
